                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.61257,                0.89474,                0.39235,                 0.8634,                0.88956,                0.77304,                0.82123,                 0.6806,                0.88511,                0.75045,                0.80879,                0.61497,                0.65337,                    nan,                0.43933,                0.89397,               0.004654,               0.004654,               0.004654
                    110,                0.61156,                0.88128,                0.39062,                0.86448,                0.88602,                0.77375,                0.82193,                0.68137,                0.88278,                0.75009,                0.80905,                0.61499,                0.65406,                    nan,                0.43826,                0.89489,              0.0046045,              0.0046045,              0.0046045
                    111,                0.61331,                0.88496,                0.39419,                0.86404,                 0.8834,                0.77962,                0.82158,                0.68092,                0.87274,                0.75905,                0.80857,                0.61593,                0.65366,                    nan,                0.43719,                0.89443,               0.004555,               0.004555,               0.004555
                    112,                0.60857,                0.88007,                0.39123,                0.86334,                0.88342,                0.77985,                0.82181,                0.68084,                0.87075,                0.76085,                0.80953,                0.61723,                0.65228,                    nan,                0.43559,                0.89416,              0.0045055,              0.0045055,              0.0045055
                    113,                0.60546,                 0.8806,                0.38853,                0.86286,                0.88902,                0.77842,                0.82216,                0.68205,                0.87439,                0.75879,                0.81079,                 0.6168,                0.65069,                    nan,                0.43481,                0.89303,               0.004456,               0.004456,               0.004456
                    114,                0.60974,                0.87877,                0.39038,                0.86304,                 0.8916,                0.77565,                0.82178,                0.68271,                 0.8769,                0.75869,                0.81151,                0.61723,                0.64982,                    nan,                0.43383,                0.89283,              0.0044065,              0.0044065,              0.0044065
                    115,                0.60651,                0.87885,                0.38666,                0.86226,                0.88789,                0.77806,                 0.8218,                0.68284,                0.87341,                0.76194,                0.81197,                0.61764,                0.65005,                    nan,                0.43247,                0.89293,               0.004357,               0.004357,               0.004357
                    116,                0.60345,                0.87253,                0.38442,                0.86201,                0.88995,                0.77705,                0.82156,                0.68248,                 0.8822,                0.75722,                0.81039,                0.61742,                 0.6503,                    nan,                0.43349,                0.89314,              0.0043075,              0.0043075,              0.0043075
                    117,                0.60548,                 0.8798,                 0.3873,                0.86175,                0.88862,                0.77805,                0.82126,                0.68219,                0.87823,                0.75869,                0.80978,                0.61766,                0.64966,                    nan,                0.43209,                 0.8937,               0.004258,               0.004258,               0.004258
                    118,                0.60421,                0.86282,                0.38502,                0.86163,                0.88761,                0.77877,                0.82147,                 0.6831,                0.87821,                0.75977,                0.81056,                0.61798,                  0.649,                    nan,                0.43161,                 0.8934,              0.0042085,              0.0042085,              0.0042085
                    119,                0.60369,                0.87187,                0.38452,                0.85997,                0.89142,                0.77698,                0.82187,                0.68308,                0.88185,                0.75726,                0.80991,                0.61794,                0.64947,                    nan,                0.43136,                0.89363,               0.004159,               0.004159,               0.004159
                    120,                0.60241,                0.86838,                0.38241,                0.85847,                 0.8899,                0.77555,                0.82136,                0.68302,                0.88769,                0.75475,                0.80931,                0.61845,                0.64944,                    nan,                0.43152,                0.89368,              0.0041095,              0.0041095,              0.0041095
                    121,                0.59974,                0.86675,                0.38132,                0.85926,                0.88769,                0.77626,                0.82141,                0.68287,                0.88648,                0.75403,                0.80956,                0.61828,                0.64891,                    nan,                0.43123,                0.89327,                0.00406,                0.00406,                0.00406
                    122,                0.59283,                 0.8517,                0.37744,                0.85782,                 0.8849,                0.77734,                0.82119,                0.68282,                0.89313,                0.74616,                0.80909,                0.61889,                0.64863,                    nan,                0.43153,                0.89311,              0.0040105,              0.0040105,              0.0040105
                    123,                0.59687,                0.86234,                0.37978,                0.85838,                0.88399,                0.77734,                 0.8216,                 0.6833,                0.89597,                0.74579,                0.80889,                0.61913,                0.64793,                    nan,                0.43101,                0.89263,               0.003961,               0.003961,               0.003961
                    124,                0.59327,                 0.8577,                0.37513,                0.85681,                0.88613,                 0.7777,                 0.8215,                0.68353,                 0.8961,                0.74686,                0.80814,                0.61959,                 0.6467,                    nan,                0.42998,                0.89192,              0.0039115,              0.0039115,              0.0039115
                    125,                 0.5989,                0.85899,                0.37965,                0.85982,                0.88428,                0.77806,                0.82246,                0.68426,                0.89799,                0.74486,                0.80788,                0.61964,                0.64572,                    nan,                0.42988,                0.89145,               0.003862,               0.003862,               0.003862
                    126,                0.59199,                0.85412,                0.37588,                0.85835,                0.88811,                 0.7777,                0.82213,                0.68471,                0.89339,                0.74866,                 0.8082,                0.62069,                0.64563,                    nan,                0.42907,                 0.8911,              0.0038125,              0.0038125,              0.0038125
                    127,                 0.5922,                0.85448,                0.37703,                0.85724,                0.89096,                0.77591,                0.82212,                0.68497,                0.89047,                0.75209,                0.80877,                 0.6214,                0.64523,                    nan,                0.42813,                 0.8911,               0.003763,               0.003763,               0.003763
                    128,                0.59092,                0.85292,                0.37544,                0.85641,                0.89565,                0.77248,                0.82265,                0.68531,                0.89321,                0.75045,                0.80888,                0.62158,                0.64494,                    nan,                0.42779,                0.89106,              0.0037135,              0.0037135,              0.0037135
                    129,                0.59151,                 0.8496,                0.37468,                0.85716,                0.89257,                0.77453,                0.82324,                0.68495,                0.89775,                 0.7492,                0.80878,                0.62214,                0.64485,                    nan,                0.42745,                0.89098,               0.003664,               0.003664,               0.003664
                    130,                0.58364,                0.84116,                0.37189,                0.85712,                0.89413,                0.77522,                0.82355,                0.68521,                0.89901,                 0.7501,                0.80914,                0.62197,                 0.6443,                    nan,                0.42719,                0.89076,              0.0036145,              0.0036145,              0.0036145
                    131,                0.58583,                0.84843,                0.37218,                0.85629,                0.89311,                0.77593,                0.82485,                0.68606,                0.89789,                0.75081,                0.80977,                 0.6221,                0.64406,                    nan,                0.42644,                0.89067,               0.003565,               0.003565,               0.003565
                    132,                0.57937,                0.84204,                0.36878,                0.85483,                0.89243,                0.77638,                0.82484,                0.68605,                 0.8947,                0.75251,                0.81011,                0.62236,                0.64355,                    nan,                0.42594,                0.89032,              0.0035155,              0.0035155,              0.0035155
                    133,                0.58339,                0.84204,                0.36802,                0.85668,                0.89414,                0.77591,                0.82463,                0.68546,                0.89072,                0.75401,                0.80848,                0.62252,                0.64313,                    nan,                0.42619,                0.88996,               0.003466,               0.003466,               0.003466
                    134,                0.57814,                 0.8315,                0.36694,                 0.8548,                0.89482,                0.77519,                0.82481,                0.68619,                0.89507,                0.75152,                0.80943,                0.62317,                0.64309,                    nan,                0.42604,                 0.8899,              0.0034165,              0.0034165,              0.0034165
                    135,                0.57816,                0.82993,                0.36754,                0.85485,                0.89349,                0.77598,                0.82391,                0.68586,                 0.8962,                0.75117,                0.80986,                0.62312,                0.64286,                    nan,                0.42623,                0.88973,               0.003367,               0.003367,               0.003367
                    136,                0.57837,                 0.8298,                0.36576,                 0.8541,                0.89123,                0.77734,                0.82439,                0.68594,                0.89363,                0.75305,                0.81001,                0.62276,                0.64283,                    nan,                0.42593,                0.88972,              0.0033175,              0.0033175,              0.0033175
                    137,                 0.5769,                0.83207,                0.36585,                0.85449,                0.88833,                0.78057,                0.82508,                0.68643,                0.89965,                0.74901,                0.81069,                0.62354,                 0.6428,                    nan,                0.42598,                0.88961,               0.003268,               0.003268,               0.003268
                    138,                0.57104,                0.83167,                0.36202,                0.85392,                0.88839,                  0.782,                0.82527,                0.68662,                0.89989,                0.74937,                0.81067,                0.62337,                0.64235,                    nan,                0.42518,                 0.8894,              0.0032185,              0.0032185,              0.0032185
                    139,                0.56757,                0.81759,                0.35907,                0.85346,                0.88932,                0.78077,                0.82536,                0.68661,                 0.8946,                0.75471,                0.81074,                0.62392,                0.64237,                    nan,                0.42442,                0.88943,               0.003169,               0.003169,               0.003169
                    140,                0.57249,                0.82915,                0.36145,                0.85231,                0.88948,                  0.782,                0.82557,                0.68625,                0.89727,                0.75159,                0.81118,                0.62414,                0.64201,                    nan,                0.42355,                 0.8894,              0.0031195,              0.0031195,              0.0031195
                    141,                0.56984,                0.82558,                0.35913,                0.85205,                0.88915,                0.78224,                0.82636,                0.68588,                0.89699,                0.75368,                0.81122,                0.62423,                0.64191,                    nan,                0.42383,                0.88913,                0.00307,                0.00307,                0.00307
                    142,                0.56859,                0.81039,                0.35997,                0.85277,                0.88981,                0.78308,                0.82661,                0.68664,                0.89578,                0.75583,                0.81085,                0.62387,                 0.6415,                    nan,                0.42304,                0.88906,              0.0030205,              0.0030205,              0.0030205
                    143,                0.56916,                0.81984,                0.35782,                0.85024,                0.88924,                0.78295,                0.82686,                 0.6867,                0.89494,                0.75583,                0.81067,                0.62419,                0.64146,                    nan,                 0.4226,                0.88919,               0.002971,               0.002971,               0.002971
                    144,                0.56448,                0.80957,                 0.3556,                 0.8517,                0.88998,                0.78314,                0.82653,                0.68712,                0.89149,                 0.7569,                0.81068,                0.62456,                0.64115,                    nan,                 0.4226,                0.88906,              0.0029215,              0.0029215,              0.0029215
                    145,                0.56581,                0.81733,                0.35684,                 0.8516,                  0.896,                0.77848,                0.82649,                0.68762,                0.89342,                0.75619,                0.81122,                0.62479,                0.64116,                    nan,                0.42178,                0.88918,               0.002872,               0.002872,               0.002872
                    146,                0.56279,                 0.8124,                0.35569,                0.84974,                0.89076,                0.78062,                0.82653,                0.68804,                0.89371,                0.75675,                0.81136,                0.62503,                0.64108,                    nan,                0.42156,                0.88893,              0.0028225,              0.0028225,              0.0028225
                    147,                0.56085,                0.81246,                0.35311,                0.84867,                0.89629,                0.77806,                 0.8256,                0.68746,                 0.8971,                0.75338,                0.81108,                0.62513,                0.64077,                    nan,                0.42124,                0.88895,               0.002773,               0.002773,               0.002773
                    148,                0.56187,                0.80579,                0.35245,                0.84966,                 0.8979,                0.77806,                0.82594,                0.68819,                0.89784,                0.75368,                0.81112,                0.62582,                0.64043,                    nan,                0.42104,                0.88871,              0.0027235,              0.0027235,              0.0027235
                    149,                0.55621,                0.79888,                0.35146,                0.84807,                0.89655,                0.77688,                0.82642,                0.68863,                0.89943,                0.75009,                0.81058,                0.62656,                0.64005,                    nan,                0.42036,                0.88855,               0.002674,               0.002674,               0.002674
                    150,                 0.5563,                0.80435,                0.35214,                0.85067,                0.89642,                0.77806,                 0.8262,                0.68893,                0.89962,                0.75195,                0.81032,                0.62633,                0.64027,                    nan,                0.41949,                 0.8887,              0.0026245,              0.0026245,              0.0026245
                    151,                0.55479,                0.79395,                0.34955,                0.84848,                0.89895,                0.77831,                0.82632,                0.68912,                 0.9009,                0.74965,                 0.8102,                0.62648,                0.63999,                    nan,                0.41984,                0.88895,               0.002575,               0.002575,               0.002575
                    152,                0.55664,                0.79937,                0.34937,                0.84861,                0.89965,                0.77788,                0.82547,                0.68982,                0.90029,                0.74973,                0.81042,                0.62609,                 0.6397,                    nan,                0.41982,                0.88899,              0.0025255,              0.0025255,              0.0025255
                    153,                0.55329,                0.79889,                0.34769,                0.84856,                0.90064,                0.77674,                0.82577,                0.68934,                0.90073,                0.75009,                 0.8105,                0.62664,                0.63947,                    nan,                0.41884,                0.88891,               0.002476,               0.002476,               0.002476
                    154,                0.54799,                0.78882,                0.34419,                0.84691,                0.89445,                0.78128,                0.82577,                0.68962,                0.90135,                0.75017,                0.81153,                0.62725,                0.63908,                    nan,                0.41833,                0.88888,              0.0024265,              0.0024265,              0.0024265
                    155,                0.55049,                0.79211,                0.34472,                0.84702,                 0.8942,                0.78183,                0.82574,                0.68997,                0.90219,                0.75075,                0.81151,                0.62734,                0.63853,                    nan,                0.41807,                 0.8886,               0.002377,               0.002377,               0.002377
                    156,                0.54663,                0.79081,                0.34392,                0.84706,                0.89442,                0.78063,                0.82574,                0.68987,                0.90268,                0.75045,                0.81172,                0.62824,                0.63865,                    nan,                0.41757,                0.88872,              0.0023275,              0.0023275,              0.0023275
                    157,                0.54688,                0.78571,                0.34387,                0.84657,                0.90013,                0.77591,                0.82578,                0.69091,                0.90042,                0.75188,                0.81239,                0.62886,                0.63879,                    nan,                0.41676,                0.88873,               0.002278,               0.002278,               0.002278
                    158,                0.54439,                0.78575,                0.34226,                0.84705,                0.88887,                0.78523,                0.82595,                0.69125,                 0.9027,                0.75081,                0.81178,                0.62843,                0.63834,                    nan,                0.41691,                0.88849,              0.0022285,              0.0022285,              0.0022285
                    159,                0.54028,                0.78222,                0.33887,                0.84615,                0.88816,                0.78487,                0.82642,                0.69132,                0.90414,                0.75076,                0.81227,                0.62861,                0.63844,                    nan,                0.41623,                0.88857,               0.002179,               0.002179,               0.002179
                    160,                0.53937,                0.77642,                0.33859,                0.84661,                0.88866,                0.78523,                0.82652,                0.69152,                0.90236,                0.75218,                  0.812,                0.62834,                0.63805,                    nan,                0.41582,                 0.8884,              0.0021295,              0.0021295,              0.0021295
                    161,                0.54025,                0.78038,                0.33816,                0.84509,                0.89194,                0.78272,                0.82719,                0.69139,                0.90131,                0.75296,                0.81234,                 0.6282,                0.63788,                    nan,                0.41555,                0.88783,                0.00208,                0.00208,                0.00208
                    162,                0.54343,                0.78244,                0.34038,                0.84605,                0.89075,                0.78349,                0.82722,                 0.6922,                0.90016,                 0.7526,                0.81327,                0.62871,                0.63748,                    nan,                 0.4154,                0.88764,              0.0020305,              0.0020305,              0.0020305
                    163,                0.54112,                0.77557,                0.33926,                0.84422,                0.89153,                0.78308,                0.82657,                0.69231,                0.90321,                0.75117,                0.81384,                0.62905,                0.63701,                    nan,                0.41511,                0.88748,               0.001981,               0.001981,               0.001981
                    164,                0.53688,                0.77518,                0.33609,                0.84428,                0.89098,                0.78308,                0.82682,                0.69273,                0.90149,                0.75138,                0.81433,                0.62954,                0.63697,                    nan,                0.41533,                0.88746,              0.0019315,              0.0019315,              0.0019315
                    165,                0.53819,                0.77603,                0.33655,                0.84534,                0.89305,                0.78308,                0.82707,                0.69249,                0.90152,                0.75163,                0.81405,                0.62937,                0.63677,                    nan,                0.41486,                0.88737,               0.001882,               0.001882,               0.001882
                    166,                 0.5376,                0.77266,                0.33524,                 0.8443,                0.89568,                0.78195,                0.82742,                0.69318,                0.90604,                0.75023,                0.81425,                0.62962,                0.63699,                    nan,                0.41471,                0.88753,              0.0018325,              0.0018325,              0.0018325
                    167,                0.53353,                0.77177,                0.33484,                0.84427,                0.89446,                0.78272,                0.82784,                0.69323,                0.90598,                0.74937,                0.81457,                0.63003,                0.63677,                    nan,                0.41378,                0.88751,               0.001783,               0.001783,               0.001783
                    168,                 0.5303,                0.76765,                0.33123,                0.84309,                0.89583,                0.78317,                0.82824,                0.69332,                0.90403,                0.75188,                0.81429,                0.62941,                0.63652,                    nan,                0.41318,                0.88739,              0.0017335,              0.0017335,              0.0017335
                    169,                0.53235,                0.76743,                 0.3326,                0.84316,                0.89526,                0.78415,                0.82853,                0.69366,                0.90285,                0.75224,                0.81511,                0.62994,                0.63662,                    nan,                0.41305,                0.88751,               0.001684,               0.001684,               0.001684
                    170,                0.52903,                0.75776,                0.32936,                0.84165,                0.89561,                0.78444,                0.82879,                0.69329,                0.89985,                0.75798,                0.81596,                0.62965,                0.63669,                    nan,                0.41296,                0.88759,              0.0016345,              0.0016345,              0.0016345
                    171,                0.52892,                0.76943,                 0.3304,                 0.8432,                0.89638,                0.78471,                0.82878,                0.69362,                0.89986,                0.75719,                0.81525,                0.63029,                0.63665,                    nan,                0.41231,                0.88739,               0.001585,               0.001585,               0.001585
                    172,                0.52664,                0.75949,                0.32919,                0.84153,                0.89532,                0.78506,                0.82893,                0.69387,                 0.8991,                0.75762,                 0.8153,                 0.6302,                0.63658,                    nan,                0.41177,                0.88724,              0.0015355,              0.0015355,              0.0015355
                    173,                0.52525,                0.75333,                0.32697,                0.84119,                0.89466,                0.78523,                0.82935,                0.69405,                 0.8984,                0.75798,                0.81585,                0.63036,                0.63648,                    nan,                0.41173,                0.88714,               0.001486,               0.001486,               0.001486
                    174,                0.52302,                0.75129,                 0.3264,                0.84117,                0.89138,                0.78953,                0.82972,                0.69436,                0.89865,                0.75762,                0.81578,                0.63029,                0.63674,                    nan,                0.41166,                0.88719,              0.0014365,              0.0014365,              0.0014365
                    175,                0.52192,                0.75423,                0.32632,                0.84107,                0.89089,                0.78953,                   0.83,                0.69448,                 0.8996,                0.75823,                0.81703,                 0.6308,                0.63669,                    nan,                0.41133,                0.88711,               0.001387,               0.001387,               0.001387
                    176,                0.52607,                0.75242,                0.32701,                 0.8432,                0.89205,                0.78917,                0.82985,                0.69454,                0.89985,                0.75798,                0.81637,                0.63154,                0.63633,                    nan,                0.41146,                0.88688,              0.0013375,              0.0013375,              0.0013375
                    177,                0.52077,                0.74759,                0.32458,                 0.8403,                0.89254,                0.78917,                0.83034,                0.69443,                0.89902,                 0.7569,                 0.8162,                0.63141,                0.63581,                    nan,                0.41084,                0.88634,               0.001288,               0.001288,               0.001288
                    178,                0.52055,                0.74187,                0.32455,                   0.84,                0.89253,                0.78907,                0.83049,                0.69473,                0.89908,                0.75726,                0.81697,                0.63177,                0.63605,                    nan,                0.41177,                 0.8866,              0.0012385,              0.0012385,              0.0012385
                    179,                0.52035,                0.74785,                0.32314,                0.84003,                0.89331,                0.78954,                 0.8305,                0.69481,                0.89905,                0.75726,                 0.8163,                 0.6318,                 0.6352,                    nan,                0.41139,                0.88619,               0.001189,               0.001189,               0.001189
                    180,                0.51271,                0.73997,                0.31814,                0.83957,                 0.8941,                0.79013,                0.83052,                0.69514,                0.89928,                 0.7569,                0.81612,                0.63224,                0.63512,                    nan,                0.41094,                0.88632,              0.0011395,              0.0011395,              0.0011395
                    181,                0.51521,                0.74261,                0.31982,                0.83908,                0.89206,                0.79025,                0.83122,                0.69566,                0.89938,                0.75726,                0.81649,                0.63228,                0.63501,                    nan,                0.41069,                0.88632,                0.00109,                0.00109,                0.00109
                    182,                0.51182,                0.73805,                 0.3182,                0.84021,                0.89325,                0.79025,                0.83137,                0.69603,                0.89947,                0.75762,                0.81669,                0.63192,                0.63508,                    nan,                0.41014,                0.88644,              0.0010405,              0.0010405,              0.0010405
                    183,                0.50958,                0.73362,                0.31642,                 0.8392,                0.89428,                0.79096,                0.83199,                 0.6964,                0.89866,                0.75994,                0.81719,                 0.6326,                 0.6348,                    nan,                0.40932,                0.88633,               0.000991,               0.000991,               0.000991
                    184,                0.51177,                0.73966,                0.31816,                0.83878,                0.89282,                0.79153,                0.83222,                0.69665,                0.89801,                0.75768,                0.81646,                0.63256,                0.63456,                    nan,                0.40948,                0.88631,              0.0009415,              0.0009415,              0.0009415
                    185,                 0.5081,                0.73611,                0.31643,                0.83829,                0.89261,                0.79276,                0.83173,                0.69698,                0.89909,                0.76029,                0.81748,                0.63321,                0.63457,                    nan,                0.40938,                0.88635,               0.000892,               0.000892,               0.000892
                    186,                0.50709,                0.73456,                0.31499,                 0.8403,                0.89368,                0.79266,                0.83139,                0.69698,                0.89816,                0.75894,                 0.8169,                0.63342,                0.63467,                    nan,                0.40953,                0.88621,              0.0008425,              0.0008425,              0.0008425
                    187,                 0.5065,                  0.731,                0.31427,                 0.8375,                0.89337,                0.79302,                0.83202,                0.69782,                0.89841,                0.75905,                0.81744,                0.63351,                0.63448,                    nan,                0.40921,                0.88606,               0.000793,               0.000793,               0.000793
                    188,                0.50453,                0.72593,                0.31372,                0.83687,                0.89608,                0.79204,                0.83224,                 0.6974,                0.89949,                0.75729,                0.81715,                0.63375,                0.63446,                    nan,                0.40916,                0.88601,              0.0007435,              0.0007435,              0.0007435
                    189,                0.50554,                0.73371,                0.31605,                0.83818,                0.89475,                0.79383,                0.83224,                 0.6978,                 0.8995,                0.75735,                0.81726,                0.63428,                0.63457,                    nan,                0.40891,                0.88598,               0.000694,               0.000694,               0.000694
                    190,                0.48732,                0.67976,                 0.2944,                0.82475,                0.89549,                 0.7926,                 0.8319,                0.69832,                0.89784,                0.75626,                 0.8162,                0.63411,                0.63436,                    nan,                0.40897,                0.88581,              0.0006445,              0.0006445,              0.0006445
                    191,                0.47785,                0.66907,                0.28703,                0.82359,                0.89385,                0.79402,                0.83233,                0.69831,                 0.9006,                0.75726,                0.81669,                0.63414,                0.63408,                    nan,                0.40864,                0.88537,               0.000595,               0.000595,               0.000595
                    192,                0.47576,                0.66213,                0.28473,                0.82291,                0.89524,                0.79361,                0.83239,                0.69863,                0.90099,                0.75693,                0.81748,                0.63443,                0.63355,                    nan,                0.40898,                0.88525,              0.0005455,              0.0005455,              0.0005455
                    193,                0.46946,                0.66246,                0.28237,                0.82281,                0.89665,                0.79132,                0.83321,                0.69892,                0.90083,                0.75977,                 0.8181,                0.63427,                0.63325,                    nan,                0.40865,                0.88483,               0.000496,               0.000496,               0.000496
                    194,                0.47035,                0.65252,                0.28211,                0.82265,                0.89647,                0.79276,                0.83279,                0.69896,                0.89922,                0.75905,                0.81802,                0.63529,                0.63272,                    nan,                0.40861,                0.88462,              0.0004465,              0.0004465,              0.0004465
                    195,                0.46399,                 0.6505,                0.27983,                0.82111,                0.89858,                  0.791,                 0.8335,                0.69921,                0.90226,                  0.758,                0.81808,                0.63529,                0.63241,                    nan,                0.40861,                0.88449,               0.000397,               0.000397,               0.000397
                    196,                0.46251,                0.64631,                0.27721,                0.81947,                0.89944,                0.79025,                0.83371,                0.69923,                0.89973,                0.75928,                0.81759,                0.63505,                0.63191,                    nan,                0.40818,                0.88428,              0.0003475,              0.0003475,              0.0003475
                    197,                0.46178,                0.64749,                0.27692,                0.82033,                0.90043,                0.78953,                0.83381,                0.69983,                0.89988,                0.76059,                0.81903,                0.63563,                0.63185,                    nan,                 0.4078,                0.88439,               0.000298,               0.000298,               0.000298
                    198,                0.46068,                0.64323,                0.27608,                0.81999,                0.89968,                0.79096,                0.83423,                0.70025,                0.90052,                0.76013,                0.81921,                0.63591,                0.63178,                    nan,                 0.4075,                0.88433,              0.0002485,              0.0002485,              0.0002485
                    199,                 0.4579,                0.63885,                0.27519,                0.81999,                0.89904,                0.79096,                0.83448,                0.70029,                0.90084,                0.75941,                0.81905,                0.63611,                0.63123,                    nan,                0.40716,                0.88392,               0.000199,               0.000199,               0.000199
